,aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,season,shooting_accuracy,shot_on_target,tackle_success
459,0,0,0,Blackburn Rovers,0,0,1.13,0.84,0,0,0.0,2004/05,0,0,0
460,0,0,0,Blackburn Rovers,0,0,1.55,1.34,0,0,0.0,2003/04,0,0,0
461,0,0,0,Blackburn Rovers,0,0,1.13,1.37,0,0,0.0,2002/03,0,0,0
462,0,0,0,Blackburn Rovers,0,0,1.34,1.45,0,0,0.0,2001/02,0,0,0
463,0,0,0,Blackburn Rovers,0,0,1.37,1.0,0,0,0.0,1998/99,0,0,0
464,0,0,0,Blackburn Rovers,0,0,1.37,1.5,0,0,0.0,1997/98,0,0,0
465,0,0,0,Blackburn Rovers,0,0,1.13,1.11,0,0,0.0,1996/97,0,0,0
466,0,0,0,Blackburn Rovers,0,0,1.24,1.61,0,0,0.0,1995/96,0,0,0
467,0,0,0,Blackburn Rovers,0,0,0.93,1.9,0,0,0.0,1994/95,0,0,0
468,0,0,0,Blackburn Rovers,0,0,0.86,1.5,0,0,0.0,1993/94,0,0,0
469,0,0,0,Blackburn Rovers,0,0,1.1,1.62,0,0,0.0,1992/93,0,0,0
470,2299,35,1255,Bolton Wanderers,769,23,2.03,1.21,694,72,357.37,2011/12,33,163,73
471,3171,48,1466,Bolton Wanderers,850,29,1.47,1.37,627,67,334.32,2010/11,30,173,72
472,3107,0,1638,Bolton Wanderers,875,25,1.76,1.11,735,64,300.11,2009/10,29,163,72
473,2636,0,1880,Bolton Wanderers,853,23,1.39,1.08,555,64,280.24,2008/09,32,154,76
474,2508,0,2166,Bolton Wanderers,905,24,1.42,0.95,542,68,311.95,2007/08,33,149,76
475,2130,0,1037,Bolton Wanderers,942,19,1.37,1.24,235,65,326.89,2006/07,30,120,78
476,0,0,0,Bolton Wanderers,0,0,1.08,1.29,0,0,0.0,2005/06,0,0,0
477,0,0,0,Bolton Wanderers,0,0,1.16,1.29,0,0,0.0,2004/05,0,0,0
478,0,0,0,Bolton Wanderers,0,0,1.47,1.26,0,0,0.0,2003/04,0,0,0
479,0,0,0,Bolton Wanderers,0,0,1.34,1.08,0,0,0.0,2002/03,0,0,0
480,0,0,0,Bolton Wanderers,0,0,1.63,1.16,0,0,0.0,2001/02,0,0,0
481,0,0,0,Bolton Wanderers,0,0,1.61,1.08,0,0,0.0,1997/98,0,0,0
482,0,0,0,Bolton Wanderers,0,0,1.87,1.03,0,0,0.0,1995/96,0,0,0
483,2555,40,1261,Birmingham City,784,22,1.53,0.97,573,72,369.37,2010/11,30,121,68
484,2814,0,1499,Birmingham City,736,21,1.24,1.0,777,68,356.32,2009/10,34,155,71
485,2351,0,2145,Birmingham City,774,23,1.63,1.21,515,64,279.74,2007/08,35,143,77
486,0,0,0,Birmingham City,0,0,1.32,0.74,0,0,0.0,2005/06,0,0,0
487,0,0,0,Birmingham City,0,0,1.21,1.05,0,0,0.0,2004/05,0,0,0
488,0,0,0,Birmingham City,0,0,1.26,1.13,0,0,0.0,2003/04,0,0,0
489,0,0,0,Birmingham City,0,0,1.29,1.08,0,0,0.0,2002/03,0,0,0
490,2474,61,1616,Blackpool,836,24,2.05,1.45,451,76,397.71,2010/11,30,161,75
491,2497,0,1356,Portsmouth,818,19,1.74,0.89,681,74,355.82,2009/10,28,151,75
492,2893,0,1552,Portsmouth,852,23,1.5,1.0,653,75,381.5,2008/09,30,152,78
493,2551,0,2103,Portsmouth,663,22,1.05,1.26,521,74,336.68,2007/08,29,160,76
494,2288,0,1164,Portsmouth,783,25,1.11,1.18,220,68,332.0,2006/07,35,186,75
495,0,0,0,Portsmouth,0,0,1.63,0.97,0,0,0.0,2005/06,0,0,0
496,0,0,0,Portsmouth,0,0,1.55,1.13,0,0,0.0,2004/05,0,0,0
497,0,0,0,Portsmouth,0,0,1.42,1.24,0,0,0.0,2003/04,0,0,0
498,2247,0,2042,Derby County,804,22,2.34,0.53,510,67,309.29,2007/08,31,116,73
499,0,0,0,Derby County,0,0,1.66,0.87,0,0,0.0,2001/02,0,0,0
500,0,0,0,Derby County,0,0,1.55,0.97,0,0,0.0,2000/01,0,0,0
501,0,0,0,Derby County,0,0,1.5,1.16,0,0,0.0,1999/00,0,0,0
502,0,0,0,Derby County,0,0,1.18,1.05,0,0,0.0,1998/99,0,0,0
503,0,0,0,Derby County,0,0,1.29,1.37,0,0,0.0,1997/98,0,0,0
504,0,0,0,Derby County,0,0,1.53,1.18,0,0,0.0,1996/97,0,0,0
505,2325,0,1483,Charlton Athletic,750,22,1.58,0.89,340,68,334.79,2006/07,32,133,78
506,0,0,0,Charlton Athletic,0,0,1.45,1.08,0,0,0.0,2005/06,0,0,0
507,0,0,0,Charlton Athletic,0,0,1.53,1.11,0,0,0.0,2004/05,0,0,0
508,0,0,0,Charlton Athletic,0,0,1.34,1.34,0,0,0.0,2003/04,0,0,0
509,0,0,0,Charlton Athletic,0,0,1.47,1.18,0,0,0.0,2002/03,0,0,0
510,0,0,0,Charlton Athletic,0,0,1.29,1.0,0,0,0.0,2001/02,0,0,0
511,0,0,0,Charlton Athletic,0,0,1.5,1.32,0,0,0.0,2000/01,0,0,0
512,0,0,0,Charlton Athletic,0,0,1.47,1.08,0,0,0.0,1998/99,0,0,0
513,0,0,0,Leeds United,0,0,2.08,1.05,0,0,0.0,2003/04,0,0,0
514,0,0,0,Leeds United,0,0,1.5,1.53,0,0,0.0,2002/03,0,0,0
515,0,0,0,Leeds United,0,0,0.97,1.39,0,0,0.0,2001/02,0,0,0
516,0,0,0,Leeds United,0,0,1.13,1.68,0,0,0.0,2000/01,0,0,0
517,0,0,0,Leeds United,0,0,1.13,1.53,0,0,0.0,1999/00,0,0,0
518,0,0,0,Leeds United,0,0,0.89,1.63,0,0,0.0,1998/99,0,0,0
519,0,0,0,Leeds United,0,0,1.21,1.5,0,0,0.0,1997/98,0,0,0
520,0,0,0,Leeds United,0,0,1.0,0.74,0,0,0.0,1996/97,0,0,0
521,0,0,0,Leeds United,0,0,1.5,1.05,0,0,0.0,1995/96,0,0,0
522,0,0,0,Leeds United,0,0,0.9,1.4,0,0,0.0,1994/95,0,0,0
523,0,0,0,Leeds United,0,0,0.93,1.55,0,0,0.0,1993/94,0,0,0
524,0,0,0,Leeds United,0,0,1.48,1.36,0,0,0.0,1992/93,0,0,0
525,0,0,0,Ipswich Town,0,0,1.68,1.08,0,0,0.0,2001/02,0,0,0
526,0,0,0,Ipswich Town,0,0,1.11,1.5,0,0,0.0,2000/01,0,0,0
527,0,0,0,Ipswich Town,0,0,2.21,0.86,0,0,0.0,1994/95,0,0,0
528,0,0,0,Ipswich Town,0,0,1.38,0.83,0,0,0.0,1993/94,0,0,0
529,0,0,0,Ipswich Town,0,0,1.31,1.19,0,0,0.0,1992/93,0,0,0
530,0,0,0,Bradford City,0,0,1.84,0.79,0,0,0.0,2000/01,0,0,0
531,0,0,0,Bradford City,0,0,1.79,1.0,0,0,0.0,1999/00,0,0,0
532,0,0,0,Coventry City,0,0,1.66,0.95,0,0,0.0,2000/01,0,0,0
533,0,0,0,Coventry City,0,0,1.42,1.24,0,0,0.0,1999/00,0,0,0
534,0,0,0,Coventry City,0,0,1.34,1.03,0,0,0.0,1998/99,0,0,0
535,0,0,0,Coventry City,0,0,1.16,1.21,0,0,0.0,1997/98,0,0,0
536,0,0,0,Coventry City,0,0,1.42,1.0,0,0,0.0,1996/97,0,0,0
537,0,0,0,Coventry City,0,0,1.58,1.11,0,0,0.0,1995/96,0,0,0
538,0,0,0,Coventry City,0,0,1.48,1.05,0,0,0.0,1994/95,0,0,0
539,0,0,0,Coventry City,0,0,1.07,1.02,0,0,0.0,1993/94,0,0,0
540,0,0,0,Coventry City,0,0,1.36,1.24,0,0,0.0,1992/93,0,0,0
541,0,0,0,Sheffield Wednesday,0,0,1.84,1.0,0,0,0.0,1999/00,0,0,0
542,0,0,0,Sheffield Wednesday,0,0,1.11,1.08,0,0,0.0,1998/99,0,0,0
543,0,0,0,Sheffield Wednesday,0,0,1.76,1.37,0,0,0.0,1997/98,0,0,0
544,0,0,0,Sheffield Wednesday,0,0,1.34,1.32,0,0,0.0,1996/97,0,0,0
545,0,0,0,Sheffield Wednesday,0,0,1.61,1.26,0,0,0.0,1995/96,0,0,0
546,0,0,0,Sheffield Wednesday,0,0,1.36,1.17,0,0,0.0,1994/95,0,0,0
547,0,0,0,Sheffield Wednesday,0,0,1.29,1.81,0,0,0.0,1993/94,0,0,0
548,0,0,0,Sheffield Wednesday,0,0,1.21,1.31,0,0,0.0,1992/93,0,0,0
549,0,0,0,Wimbledon,0,0,1.95,1.21,0,0,0.0,1999/00,0,0,0
550,0,0,0,Wimbledon,0,0,1.66,1.05,0,0,0.0,1998/99,0,0,0
551,0,0,0,Wimbledon,0,0,1.21,0.89,0,0,0.0,1997/98,0,0,0
552,0,0,0,Wimbledon,0,0,1.21,1.29,0,0,0.0,1996/97,0,0,0
553,0,0,0,Wimbledon,0,0,1.84,1.45,0,0,0.0,1995/96,0,0,0
554,0,0,0,Wimbledon,0,0,1.55,1.14,0,0,0.0,1994/95,0,0,0
555,0,0,0,Wimbledon,0,0,1.26,1.33,0,0,0.0,1993/94,0,0,0
556,0,0,0,Wimbledon,0,0,1.31,1.33,0,0,0.0,1992/93,0,0,0
557,0,0,0,Nottingham Forest,0,0,1.82,0.92,0,0,0.0,1998/99,0,0,0
558,0,0,0,Nottingham Forest,0,0,1.55,0.82,0,0,0.0,1996/97,0,0,0
559,0,0,0,Nottingham Forest,0,0,1.42,1.32,0,0,0.0,1995/96,0,0,0
560,0,0,0,Nottingham Forest,0,0,1.02,1.71,0,0,0.0,1994/95,0,0,0
561,0,0,0,Nottingham Forest,0,0,1.48,0.98,0,0,0.0,1992/93,0,0,0
562,0,0,0,Barnsley,0,0,2.16,0.97,0,0,0.0,1997/98,0,0,0
563,0,0,0,Oldham Athletic,0,0,1.62,1.0,0,0,0.0,1993/94,0,0,0
564,0,0,0,Oldham Athletic,0,0,1.76,1.5,0,0,0.0,1992/93,0,0,0
565,0,0,0,Swindon Town,0,0,2.38,1.12,0,0,0.0,1993/94,0,0,0
